id,event,name,description,speaker,start_time,presentation_type
1,1,Введение в TensorFlow,Более подробно поговорим о теме доклада,2,2024-04-20 10:00:00+03:00,лекция
2,1,Тензоры и операции в TensorFlow,Более подробно поговорим о теме доклада,3,2024-04-20 10:45:00+03:00,лекция
3,1,Кофе-брейк,Немого отдохнем,1,2024-04-20 11:30:00+03:00,кофе-брейк
4,1,Обучение нейронных сетей в TensorFlow,Более подробно поговорим о теме доклада,4,2024-04-20 12:00:00+03:00,воркшоп
5,1,Продвинутые техники в TensorFlow,Более подробно поговорим о теме доклада,5,2024-04-20 12:45:00+03:00,лекция
6,2,Основы PyTorch,Более подробно поговорим о теме доклада,6,2024-04-26 14:00:00+03:00,лекция
7,2,Модели глубокого обучения в PyTorch,Более подробно поговорим о теме доклада,7,2024-04-26 14:45:00+03:00,лекция
8,2,Кофе-брейк,Немого отдохнем,1,2024-04-26 15:30:00+03:00,кофе-брейк
9,2,Применение PyTorch в реальных проектах,Более подробно поговорим о теме доклада,8,2024-04-26 16:00:00+03:00,воркшоп
10,2,Оптимизация производительности с PyTorch,Более подробно поговорим о теме доклада,9,2024-04-26 16:45:00+03:00,лекция
11,3,Основы сверточных нейронных сетей,Более подробно поговорим о теме доклада,10,2024-01-08 10:00:00+03:00,лекция
12,3,Сверточные сети в задачах компьютерного зрения,Более подробно поговорим о теме доклада,11,2024-01-08 10:45:00+03:00,лекция
13,3,Кофе-брейк,Немого отдохнем,1,2024-01-08 11:30:00+03:00,кофе-брейк
14,3,Случаи использования сверточных сетей,Более подробно поговорим о теме доклада,12,2024-01-08 12:00:00+03:00,воркшоп
15,3,Оптимизация сверточных сетей,Более подробно поговорим о теме доклада,13,2024-01-08 12:45:00+03:00,лекция
16,4,Машинное обучение в банковском секторе,Более подробно поговорим о теме доклада,14,2024-05-02 14:00:00+03:00,лекция
17,4,Применение ML в страховании,Более подробно поговорим о теме доклада,15,2024-05-02 14:45:00+03:00,лекция
18,4,Кофе-брейк,Немого отдохнем,1,2024-05-02 15:30:00+03:00,кофе-брейк
19,4,ML для предсказания финансового рынка,Более подробно поговорим о теме доклада,16,2024-05-02 16:00:00+03:00,воркшоп
20,4,Будущее машинного обучения в финансах,Более подробно поговорим о теме доклада,17,2024-05-02 16:45:00+03:00,лекция
21,5,Введение в Selenium,Более подробно поговорим о теме доклада,18,2024-02-25 10:00:00+03:00,лекция
22,5,Применение Selenium для автоматизации тестирования,Более подробно поговорим о теме доклада,19,2024-02-25 10:45:00+03:00,лекция
23,5,Кофе-брейк,Немого отдохнем,1,2024-02-25 11:30:00+03:00,кофе-брейк
24,5,Реальный опыт использования Selenium,Более подробно поговорим о теме доклада,20,2024-02-25 12:00:00+03:00,воркшоп
25,5,Selenium: Будущее автоматизации тестирования,Более подробно поговорим о теме доклада,21,2024-02-25 12:45:00+03:00,лекция
26,6,Введение в JMeter,Более подробно поговорим о теме доклада,18,2024-05-17 14:00:00+03:00,лекция
27,6,Применение JMeter для тестирования производительности,Более подробно поговорим о теме доклада,19,2024-05-17 14:45:00+03:00,лекция
28,6,Кофе-брейк,Немого отдохнем,1,2024-05-17 15:30:00+03:00,кофе-брейк
29,6,Реальный опыт использования JMeter,Более подробно поговорим о теме доклада,20,2024-05-17 16:00:00+03:00,воркшоп
30,6,JMeter: Будущее тестирования производительности,Более подробно поговорим о теме доклада,21,2024-05-17 16:45:00+03:00,лекция
31,7,Водопадная модель разработки и тестирования,Более подробно поговорим о теме доклада,12,2024-07-01 10:00:00+03:00,лекция
32,7,Гибкая методология разработки и тестирования,Более подробно поговорим о теме доклада,11,2024-07-01 10:45:00+03:00,лекция
33,7,Кофе-брейк,Немого отдохнем,1,2024-07-01 11:30:00+03:00,кофе-брейк
34,7,Реальный опыт использования Waterfall и Agile,Более подробно поговорим о теме доклада,5,2024-07-01 12:00:00+03:00,воркшоп
35,7,Waterfall vs Agile: Будущее методологий тестирования,Более подробно поговорим о теме доклада,10,2024-07-01 12:45:00+03:00,лекция
36,8,Введение в тестирование безопасности веб-приложений,Более подробно поговорим о теме доклада,9,2024-06-12 14:00:00+03:00,лекция
37,8,Методы тестирования безопасности веб-приложений,Более подробно поговорим о теме доклада,2,2024-06-12 14:45:00+03:00,лекция
38,8,Кофе-брейк,Немого отдохнем,1,2024-06-12 15:30:00+03:00,кофе-брейк
